index,time,id,c-text
28699,Mon Aug 19 18:21:24 2024,28057,['Кураторы и медийщики вперёд С 19 по 24 августа в НИЯУ МИФИ проходит Школа Кураторов 2024 и Школа Медиа 2024 Их участники узнают как помочь первокурсникам стать настоящими мифистами и как увлекательно рассказывать о новостях университетской жизни в блогах и СМИ Выступая на открытии школ ректор НИЯУ МИФИ Владимир Шевченко сказал Кураторство это действительно очень важно Первокурснику попавшему в университет после школы кажется что он уже взрослый что он всё знает и понимает Это иллюзия которая случается со всеми студентами но это проходит потому что университет это не школа а совсем другая модель и образования и отношений и другая энергетика Задача и миссия куратора сделать переход из одного качества в другое таким чтобы никто не потерялся и не отступился Этого не могут сделать преподаватели это не всегда могут сделать родители друзья одногруппники Подставить плечо протянуть руку вовремя сказать какое то важное слово вот суть кураторства Подробнее']
28799,Mon Aug 19 15:51:37 2024,28054,['Сотрудники НИЯУ МИФИ приняли участие в фестивале науки в Мьянме С 15 по 17 августа в Янгоне Республика Союз Мьянма состоялся Фестиваль науки организованный госкорпорацией Росатом совместно с Министерством науки и технологий Мьянмы Площадками его проведения стали Информационный центр по атомным технологиям открытый при содействии Росатома в 2023 году Янгонский технологический университет Сингапурско Мьянманский институт профессионального обучения SMVTI а также ряд школ города В научно познавательных мероприятиях проведенных в рамках фестиваля приняли участие более 3000 школьников студентов экспертов и преподавателей Гости фестиваля смогли принять участие в квестах и интерактивных играх популяризирующих науку и применение атомных технологий в энергетике медицине сельском хозяйстве В первый день фестиваля прошел лекторий Атомная энергетика в мире мифы и факты Также были организованы профориентационные уроки в янгонских школах Одним из значимых событий фестиваля стало состязание ХакАтом ведущими которого выступили преподаватели Национального исследовательского ядерного университета МИФИ Дмитрий Самохин и Александр Нахабов В ходе мероприятия студенческие команды презентовали свои концепции развития ядерной энергетики в стране В рамках фестиваля впервые прошло ток шоу с женщинами которые посвятили свою жизнь научной и исследовательской деятельности О своей работе и карьерном пути студентам и школьникам рассказали профессор И Мон Най из Янгонского технологического университета и До Нэ Зи Тыры Нау из Мандалайского технологического университета На торжественной церемонии открытия фестиваля с приветственным словом к гостям обратились Союзный министр науки и технологий Республики Союз Мьянма доктор Мьо Тейн Чжо и Чрезвычайный и Полномочный Посол Российской Федерации в Мьянме Искандер Азизов Мьо Тейн Чжо в частности отметил что интерес студентов к науке и инженерным профессиям растет что способствует развитию человеческих ресурсов в секторах связанных с наукой и ядерной энергетикой и является залогом будущего Источник АтомМедиа']
28899,Mon Aug 19 10:04:00 2024,28050,['Сегодня во всем мире отмечается День фотографии Фотография это волшебная способность остановить время На снимках мы можем сохранить самые яркие моменты жизни события которые навсегда останутся в памяти красивые места которые хочется помнить лица любимых людей и даже мимолетные мгновения которые никогда не повторятся Просматривая фотографии мы словно путешествуем в прошлое вспоминаем счастливые времена и заново переживаем важные события Для многих фотография это не просто увлечение а настоящее искусство которое позволяет выразить свои эмоции и поделиться красотой окружающего мира Поздравляем всех фотографов любителей и профессионалов Пусть ваши снимки будут яркими вдохновляющими и захватывающими дух и не забудьте подписаться на club219014709 Фотоклуб НИЯУ МИФИ А мы объявляем конкурс с очень простыми условиями делитесь своими фотографиями МИФИ и мифистов в комментариях под постом наше жюри состоящее из фотографов НИЯУ МИФИ определит лучшую фотографию победитель будет определен жюри 26 августа и получит памятный приз от нас Фото Даниил Корчагин Анастасия Зенина Денис Соколов ВсемирныйДеньФотографии PhotographyDay Фотография Art']
28999,Sun Aug 18 11:00:01 2024,28048,['К 70 летию решения о строительстве здания МИФИ на Каширском шоссе 18 августа 1954 года по распоряжению Совета министров СССР было принято решение о строительстве нового комплекса МИФИ на Каширском шоссе Свои двери он открыл для студентов в 1962 г Сегодня мы хотим рассказать о художниках выполнивших знаменитые мозаики в главном здании МИФИ Михаиле Шварцмане и Григории Даумане']
29099,Fri Aug 16 17:30:00 2024,28043,['Летняя школа ВИШ МИФИ в Сириусе открыла двери для лучших студентов С 12 по 23 августа в университете Сириус в Сочи проходит Летняя школа по цифровому инжинирингу Технологии информационного моделирования сложных инженерных объектов для лучших студентов бакалавриата и специалитета филиалов НИЯУ МИФИ']
29199,Fri Aug 16 16:55:00 2024,28042,['Стипендиальная программа среди стран партнеров Госкорпорации Росатом для магистрантов из стран СНГ И стран Африки Танзания и Намибия 1 сентября 2024 года начинается отбор участников стипендиальной программы Страны партнёры Госкорпорации Росатом для магистрантов из стран СНГ и стран Африки Танзания и Намибия Каждый месяц в течение всего периода обучения в магистратуре победители будут получать стипендию в размере 20 000 рублей 200 Подай заявку на участие в конкурсе если ты гражданин стран СНГ Танзании или Намибии магистрант одного из опорных вузов ГК Росатом обучаешься очно по ядерным и смежным направлениям поступил в рамках квот Правительства РФ Заявку на участие можно подать с 1 сентября по 31 октября 2024 года зарегистрировавшись на платформе конкурса Свои вопросы можно направить на grant ru Стань стипендиатом Госкорпорации Росатом']
29299,Fri Aug 16 15:57:05 2024,28039,['В НИЯУ МИФИ разработан ранозаживляющий гель с наночастицами В НИЯУ МИФИ разработан быстрозаживляющий гель с наночастицами церия Прототип геля был представлен на недавно пошедшем Международном военно техническом форуме Армия 2024 Гель с наночастицами церия был разработан в лаборатории бионанофотоники Инженерно физического института биомедицины НИЯУ МИФИ под руководством заведующей кафедры фундаментальной медицины НИЯУ МИФМ доктора медицинских наук Екатерины Блиновой В основе геля лежат наночастицы церия полученные методом лазерной абляции удаления частиц вещества с его поверхности под воздействием лазерного импульса В лаборатории бионанофотоники университета специализируются на получении наноматериалов лазерными методами в том числе биосовместимых наночастиц германия кремния и церия Последние обладают ярко выраженным антибактериальным эффектом В отличие от наночастиц получаемых химическими методами наночастицы металлов полученные с помощью лазерной технологии обладают чистой поверхностью и не содержат никаких токсичных веществ прекурсоров Метод лазерной абляции позволяет получать сферические наночастицы объемом от 10 15 до 80 нанометров Придерживаться данных размеров очень важно так как частицы меньшего диаметра в организме обычно фильтруются почками а частицы размером более 100 нанометров устраняются из крови макрофагами В настоящее время проверка ранозаживляющего действия геля и его сравнение с доступными в аптечной сети препаратами была проведена в Инженерно физическом институте биомедицины НИЯУ МИФИ на лабораторных животных мышах и крысах В ходе опытов было подтверждено что препарат обеспечивает более быстрое заживление долгозаживающих ран чем доступные аптечные препараты']
29399,Fri Aug 16 12:44:31 2024,28033,['Сейчас в библиотеке НИЯУ МИФИ проходит подведение итогов Академии карьерных сообществ']
29499,Fri Aug 16 11:28:17 2024,28031,['Собрали для вас дайджест событий Стартовала регистрация на форум Наука будущего наука молодых Регистрация до 22 октября Подробнее Открывается набор на новые курсы для школьников Подробнее В Точке кипения НИЯУ МИФИ пройдет летний интенсив от Студенческого научного общества для тех кто хочет попробовать себя в роли научного наставника 26 28 августа Регистрация']
29599,Thu Aug 15 18:30:00 2024,28029,['НИЯУ МИФИ принял активное участие в форуме Армия 2024 Национальный исследовательский ядерный университет МИФИ принял активное участие в Международном военно техническом форуме Армия 2024 который прошел с 12 по 14 августа в конгрессно выставочном центре Патриот в подмосковной Кубинке Читать']
29699,Thu Aug 15 17:41:49 2024,28027,['Профессор кафедры философии и лингвистики Снежинского физико технического института СФТИ НИЯУ МИФИ Илья Сергодеев объявлен победителем конкурса на участие в Литературной резиденции для авторов нон фикшн Всероссийский конкурс организован Ассоциацией союзов писателей и издателей России совместно с издательством Бослен проводится с целью найти новые таланты поддержать их создать условия для работы над интересными замыслами подготовить рукописи к дальнейшему изданию В конкурсе приняли участие авторы нон фикшн представившие произведения на темы традиционного искусства ремесла истории народного костюма биографии выдающихся деятелей научно популярные работы в сфере культуры искусства гуманитарных наук антропологии и истории повседневности В число шести победителей приглашенных в Литературную резиденцию которая пройдет в Самаре в сентябре этого года вошел доктор филологических наук профессор кафедры философии и лингвистики Снежинского физико технического института НИЯУ МИФИ автор монографий и научных статей по лингвистике Илья Сергодеев В резиденции он будет работать над книгой Язык Адама Как и зачем человек заговорил придумал искусство и зашифровал в нем послания Друзья уже какое то время пишу лингвистический нон фикшн Язык Адама Как и зачем человек заговорил придумал искусство и зашифровал в нём послания Книгу оценили эксперты АСПИР Ассоциация союзов писателей и издателей России и пригласили меня в Литературную резиденцию в Самару для дальнейшего совершенствования которому как известно пределов нет поделился новостью на своей странице в ВК Илья Сергодеев Литературная резиденция место куда писатели приезжают за вдохновеньем Здесь они в течение 20 дней работают совмещая уединенный труд и дружеское общение а также встречаются с читателями и региональными литераторами проводят творческие встречи знакомятся с новым регионом']
29799,Thu Aug 15 16:01:25 2024,28026,['Мы напоминаем что необходимо быть очень внимательными и критически мыслить в любой непонятной ситуации Мошенники не дремлют к прочтению']
29899,Thu Aug 15 08:54:25 2024,28025,['Столько студентов обучается в филиалах НИЯУ МИФИ ЦифраМИФИ МИФИ']
29999,Wed Aug 14 19:10:12 2024,28024,['Списки поступивших опубликованы Всех поступивших поздравляем с поступлением желаем удачной учебы новых открытий и интересных проектов на новом уровне образования О дальнейших действиях поступивших в нашей памятке']
30099,Wed Aug 14 18:26:48 2024,28023,['НИЯУ МИФИ поздравляет директора РФЯЦ ВНИИЭФ В Е Костюкова с 75 летием 12 августа исполнилось 75 лет директору РФЯЦ ВНИИЭФ Герою России доктору технических наук профессору Почетному гражданину Нижегородской области Валентину Ефимовичу Костюкову Наш университет сердечно поздравляет юбиляра Поздравительный адрес юбиляру направил ректор НИЯУ МИФИ Глубокоуважаемый Валентин Ефимович От имени Национального исследовательского ядерного университета МИФИ и от себя лично сердечно поздравляю Вас с юбилеем В этот знаменательный день примите слова глубокого уважения к Вашему масштабному многолетнему труду на благо нашей Родины Начав свою профессиональную деятельность в НИИ измерительных систем им Ю Е Седакова Вы прошли большой путь от инженера до директора института сформировавшись как исследователь и талантливый руководитель государственного уровня Возглавив одну из крупнейших научно технических организаций страны РФЯЦ ВНИИЭФ Вы придали прославленному центру новый импульс развития вывели на высочайший уровень работы по совершенствованию ядерного оружия Под Вашим руководством центр успешно ведёт широкий фронт работ результаты которых обеспечивают безопасность и суверенитет России Вам принадлежит ведущая роль в развитии расчетно теоретической исследовательской экспериментальной и производственной базы ядерно оружейного комплекса и в обеспечении конкурентоспособности центра на мировом уровне Ваша трудовая деятельность по достоинству оценена многочисленными наградами Ваши коллеги и ученики отмечают присущие Вам глубокую порядочность и ответственное отношение к делу а также стремление передавать свой опыт и знания молодёжи Мне особенно приятно в этот замечательный день поблагодарить Вас за неизменную поддержку которую Вы на протяжении многих лет оказываете Саровскому физико техническому институту НИЯУ МИФИ С первых дней назначения на пост директора РФЯЦ ВНИИЭФ Ваша ставка на интеграцию науки и образования СарФТИ НИЯУ МИФИ опора на талантливую молодежь помогают в построении стратегии развития Университета и дают научные и нравственные ориентиры студентам Верю что выпускники НИЯУ МИФИ будущие хранители ядерного щита нашего Отечества возьмут с Вас пример любви к делу которым занимаешься и беззаветного служения Родине От всей души поздравляю Вас желаю крепкого здоровья и благополучия Вам и Вашим близким Владимир Шевченко Ректор Национального исследовательского ядерного университета МИФИ']
30199,Wed Aug 14 18:00:03 2024,28022,['Как в НИЯУ МИФИ разрабатывают электронную компонентную базу Разработка собственной электронной компонентной базы ЭКБ интегральных микросхем полупроводниковых приборов модулей является обязательным этапом на пути к созданию конкурентной электроники для всех отраслях включая телекоммуникации интернет вещей беспилотный транспорт и многое другое Именно поэтому для отечественной радиоэлектронной отрасли данное направление является сегодня одним из приоритетных Ведущие дизайн центры заводы и ВУЗы вовлечены в разработку микросхем по самым разнообразным технологическим процессам Сегодня мы поговорим о работах которые ведутся в данном направлении в дизайн центре приемопередающей электронной компонентной пазы и радиоэлектронной аппаратуры который образован на базе Центра экстремальной прикладной электроники ЦЭПЭ входит в состав ИНТЭЛ и индустриального партнера нашего университета АО ЭНПО СПЭЛС Об этом нам расскажет руководитель дизайн центра приемопередающей ЭКБ и РЭА кандидат технических наук Николай Усачёв ГолосНауки МИФИ']
30299,Wed Aug 14 16:12:01 2024,28021,['НИЯУ МИФИ откроет представительство в Малайзии В 2025 году НИЯУ МИФИ планирует открыть представительство в Малайзии Об этом 12 августа проректор НИЯУ МИФИ Дмитрий Савкин рассказал премьер министру Малайзии Анвару Ибрагиму на полях выставки Malaysia commercialization year summit Ядерный университет также представлял директор дирекции развития проектной деятельности Владимир Кислов Малайзия очень успешна в коммерциализации разработок и доведения идеи до высокотехнологичного продукта востребованного рынком Опыт Малайзии поможет российским университетам отработать методику вывода технологических стартапов на международные рынки и МИФИ активно движется в этом направлении подчеркнул Дмитрий Савкин по итогам переговоров с Анваром Ибрагимом Представительство МИФИ может появиться на базе Малайзийского исследовательского акселератора технологий и инноваций МRANTI Среди первых разработок которые стороны рассматривают для старта совместной работы квантовые каскадные терагерцовые лазеры технология передачи данных на технологической платформе фосфида индия мемристор на основе графена мощный усилительный модуль СВЧ на платформе GaN SiC и некоторые другие Событие прокомментировал заместитель министра науки и высшего образования Российской Федерации Константин Могилевский Открытие представительства МИФИ на базе Малазийского исследовательского акселератора технологий и инноваций имеет большое значение потому что российско малазийское научно образовательное сотрудничество сегодня находится на подъеме и способствует развитию обеих стран Нами реализуются проекты по созданию совместных научных центров запущено несколько сетевых программ в том числе и двойных дипломов продолжается работа по согласованию взаимного признания образования квалификаций и ученых степеней Учитывая как активно развивается сегодня экономика Юго Восточной Азии рассчитываем что коммерциализация разработок ученых НИЯУ МИФИ на местном рынке будет вполне успешна Глава правительства Малайзии выразил поддержку сотрудничеству МИФИ и МRANTI по коммерциализации разработок российского университета на Малайзийском рынке Кроме того премьер министр Анвар Ибрагим сообщил представителям МИФИ о том что планирует посетить Восточный экономический форум в сентябре 2024 года по приглашению Президента России Владимира Путина']
30399,Wed Aug 14 15:23:12 2024,28018,['НИЯУ МИФИ представил радиоуправляемый передвижной гамма детектор На Международном военно техническом форуме Армия 2024 можно было увидеть автоматизированный и роботизированный ксеноновый гамма спектрометрический комплекс для измерения гамма излучения Его создатели сотрудники кафедры экспериментальной ядерной физики и космофизики НИЯУ МИФИ Основное назначение гамма детектора осуществлять радиационную разведку и мониторинг радиоактивных загрязнений там где человеку опасно находиться Комплекс способен измерять гамма излучение в диапазоне от 50 КЭВ до 3 МЭВ Установленной на небольшой колесной самодвижущейся платформе передвижной аппарат управляется дистанционно с помощью радиоканала на расстоянии до 25 метров в помещении и до 100 метров на открытом пространстве При необходимости для работы на б льших расстояниях до 1 км в комплекс можно добавить мобильный модем и управлять им уже через альтернативный канал связи или интернет Грузоподъемность оборудованной электродвигателем установки 20 кг она может перевозить не только сам гамма спектрометр но необходимую для его работы записи данных передачи сигнала коммуникации электронику Средняя скорость движения 1м с Аккумулятор рассчитан на два часа работы Самые распространенные гамма спектрометры в индустрии сцинтилляционные либо полупроводниковые детекторы говорит старший преподаватель кафедры экспериментальной ядерной физики и космофизики Александр Шустов У нашего ксенонового детектора есть преимущества перед обоими он имеет хорошее энергетическое разрешение лучше чем у сцинтилляционного детектора и не требует охлаждения в отличие от полупроводниковых детекторов то есть работает без дополнительного оборудования На детектор наибольший вклад в разработку которого внесли ученые НИЯУ МИФИ Валерий Дмитренко Сергей Улин и Аркадий Гальпер получен патент на изобретение']
30499,Wed Aug 14 13:37:00 2024,28016,['Дайджест конкурсов и грантов Продолжается регистрация на Всероссийский молодежный конкурс научно технических работ Орбита молодежи Прием заявок до 28 августа Подробнее Старт конкурса Росмолодёжь Гранты 2 сезон среди физических лиц Прием заявок до 12 сентября Подробнее Открыт прием заявок от молодых ученых на участие в просветительском проекте Знание Наука Российского общества Знание до 15 сентября Подробнее Фонд содействия инновациям объявляет о начале отбора проектов по конкурсу УМНИК Фотоника 2024 в рамках программы Участник молодежного научно инновационного конкурса УМНИК Прием заявок до 16 сентября Подробнее Конкурс Наставничество от президентской платформы Россия страна возможностей до 25 октября Подробнее']
30599,Wed Aug 14 12:37:00 2024,28015,['Дорогие друзья 16 августа приглашаем выпускников и магистрантов НИЯУ МИФИ на митап с участием топ менеджеров Гринатома Если вы хотите стать частью большого ИТ сообщества пообщаться с выпускниками стажерской программы и руководителями ИТ направлений Гринатома эта встреча для вас В программе 12 00 13 00 Сбор участников митапа в НИЯУ МИФИ 13 00 14 30 Нетворкинг топ менеджеров Гринатома и молодых специалистов в формате панельной дискуссии Ответим на все интересующие вопросы 14 30 15 00 Кофе брейк 15 00 17 00 Командообразующая игра Не упустите возможность познакомиться с будущими коллегами Будет интересно обещаем Когда 16 августа 2024 год 12 00 Где НИЯУ МИФИ студенческии офис г Москва Каширское шоссе 31 До встречи']
30699,Wed Aug 14 10:10:00 2024,28013,['Научно и нескучно мифисты о кризисе кодеров банковском бизнесе и приложениях будущего Совсем скоро начнется новый учебный год Пока есть время свободное от лекций и семинаров смотрим и слушаем выступления мифистов удивляемся и вдохновляемся Читать']
30799,Wed Aug 14 08:58:43 2024,28009,['В МИФИ как то грустно без вас наши дорогие студенты Тишина в коридорах пустые аудитории даже кофемашина скучает Мы уже соскучились по вашим улыбкам смеху и обсуждениям Скорее возвращайтесь Мы уже ждем вас с нетерпением']
30899,Tue Aug 13 18:26:32 2024,28008,['На форуме Армия 2024 научный руководитель НИЯУ МИФИ Михаил Стриханов выступил на Кругом столе посвящённом подготовке и аттестации кадров высшей квалификации Он рассказал что к настоящему времени произошёл переход специальных диссертационных советов на новую номенклатуру специальностей В рамках этих нововведений организовано 311 специальных диссертационных советов и 15 специальных экспертных советов На круглом столе организованном при участии НИЯУ МИФИ также присутствовали ректор НИЯУ МИФИ Владимир Шевченко представители Минобрнауки РФ МГТУ им Баумана Военно медицинской академии им Кирова Промышленного концерна Росэлектроника ФМБА и других организаций при которых организованы специальные диссертационные советы Михаил Стриханов отметил что Росатом к счастью выделяется по количеству защищенных кандидатских диссертаций по физико математическим наукам хотя в целом по этим наукам в рамках специальных диссертационных советов диссертаций не так много К числу проблем которые наблюдаются в работах специальных диссертационных советов Михаил Стриханов отнес недостаточный уровень теоретической проработки диссертаций не соответствие содержания диссертаций темам утвержденным научными советами а также несоответствие содержания диссертаций основной тематике тех научных организаций где они защищаются Зачастую проблемой также является выбор ведущих научных организаций что приводит к формальным отзывам на диссертации Ещё одна проблема неравномерность загрузки диссертационных советов есть советы где проходит защита всего одной двух диссертаций в год Стоит отметить что аналогичный круглый стол по проблемам аттестации научных кадров проходил и на прошлом форуме Более 80 предложений выдвинутых по его итогам были рассмотрены на специальной рабочей группе при Президиуме ВАК многие из них будут внедряться в практику Однако немало вопросов еще предстоит проработать в частности механизм более тесного взаимодействия Президиума ВАК со специальными диссертационными советами а также возможность создания разовых специальных диссертационных советов Подчеркнем что Круглый стол этого года состоялся на фоне изменения процедуры присвоения ученых степеней в частности на фоне перехода Высшей аттестационной комиссии под эгиду Российской Академии Наук']
30999,Tue Aug 13 15:09:54 2024,28004,['В НИЯУ МИФИ разработали нейтронный анализатор горных пород уникальное устройство предназначенное для определения химического состава образцов различной природы Разработка представлена на форуме Армия 2024']
31199,Tue Aug 13 12:59:00 2024,28001,['А мы продолжаем знакомить вас с участниками стенда НИЯУ МИФИ на Форуме Армия 2024']
31399,Tue Aug 13 09:51:39 2024,27995,['Академия карьерных сообществ НИЯУ МИФИ Стартовал четырёхдневный интенсив который поможет прокачать навыки для успешной карьеры Опытные тренеры проведут ролевые и деловые игры организуют экскурсии и многое другое Участники интенсива создадут уникальный карьерный проект который поможет раскрыть свой потенциал и достичь успеха НИЯУМИФИ Интенсив Карьера Студенты Развитие']
31599,Mon Aug 12 15:04:39 2024,27988,['Ректор НИЯУ МИФИ Владимир Шевченко дал интервью телерадиокомпании Звезда в рамках Международного военно технического форума Армия 2024 МИФИ Армия24 ФорумАрмия']
31699,Mon Aug 12 14:45:11 2024,27987,['Поговорили с участником стенда НИЯУ МИФИ Игорем Егоровым']
31799,Mon Aug 12 12:52:32 2024,27986,['НИЯУ МИФИ на Международном военно техническом форуме Армия 2024']
31899,Mon Aug 12 11:30:09 2024,27985,['Сегодня 12 августа в конгрессно выставочном центре Патриот начинает работу Международный военно технический форум Армия 2024 в котором традиционно принимает участие НИЯУ МИФИ Представители ядерного университета примут участие в научно практических конференциях и круглых столах представят участникам форума образцы новых разработок Посетители стенда нашего университета смогут увидеть такие разработки как нейтронный анализатор горных пород плазменные двигательные установки для искусственных спутников Земли и многое другое Участники и гости Армии 2024 смогут узнать об исследовательской работе которая ведется в научных центрах и лабораториях НИЯУ МИФИ Мы ждем вас на нашем стенде МИФИ ФорумАрмия']
